country,suicides_no
Dominica,0
Saint Kitts and Nevis,0
San Marino,4
Antigua and Barbuda,11
Maldives,20
Macau,27
Oman,33
Grenada,38
Cabo Verde,42
Kiribati,53
Bahamas,93
Seychelles,98
Aruba,101
Saint Vincent and Grenadines,124
Barbados,177
Jamaica,184
Saint Lucia,230
Fiji,304
Bosnia and Herzegovina,318
Belize,348
Cyprus,412
Mongolia,423
Bahrain,463
Montenegro,472
Qatar,574
Malta,585
United Arab Emirates,622
Kuwait,966
Iceland,1108
Azerbaijan,1656
Armenia,1905
Luxembourg,1958
Albania,1970
Nicaragua,2013
Suriname,2166
Georgia,3224
Guyana,3426
Panama,3483
Mauritius,3894
Trinidad and Tobago,4039
Paraguay,4783
Costa Rica,6792
Estonia,7034
South Africa,7321
Guatemala,8149
Turkmenistan,8624
Puerto Rico,9043
Singapore,10089
Turkey,10131
Slovenia,10615
Israel,11294
El Salvador,11683
Greece,12368
Ireland,12574
Latvia,12770
Kyrgyzstan,13090
Uruguay,13138
Slovakia,13437
New Zealand,14383
Denmark,15297
Norway,16992
Croatia,18429
Ecuador,20660
Philippines,21330
Portugal,24061
Serbia,24179
Switzerland,26217
Lithuania,28039
Finland,33677
Uzbekistan,34803
Bulgaria,36388
Sweden,37795
Chile,40895
Cuba,41418
Czech Republic,43687
Austria,50073
Netherlands,50833
Colombia,53080
Sri Lanka,55641
Belarus,59892
Belgium,62761
Australia,70111
Romania,72777
Hungary,73891
Argentina,82219
Spain,100202
Kazakhstan,101546
Canada,107561
Thailand,110643
Mexico,111139
Italy,132060
United Kingdom,136805
Poland,139098
Brazil,226613
Republic of Korea,261730
Germany,291262
Ukraine,319950
France,329127
Japan,806902
United States,1034013
Russian Federation,1209742
